"MNAME","USTAR","STORY","DIR","YEAR","GRADE"
"어웨이크",1000,"시각장애인 안나의 적막한 집에 낯선 여인 도린이 방문한다. 도린 역시 시각장애인이다. 비관적인 성격의 안나는 사교적인 도린에게 거부감을 느끼고 그녀를 돌려보내려 한다. 그러다 현관문이 잠기는 해프닝이 벌어지고 이를 계기로 그녀들은 하루를 함께 보낸다. 이를 통해 안나는 자신만의 닫힌 세계를 깨고 일상의 작은 행복을 경험한다. 보지 않아도 느낄 수 있고, 서로 달라도 어우러질 수 있다. 실제 시각장애인인 배우의 연기와 간결한 연출이 돋보이는 영화다. (김은정) 
?
?[제33회 부산국제단편영화제]","미카엘 악트먼",2015,"NULL"
"꽃",1000,"2인용 병실에 면회 온 두 가족의 이야기. 한쪽은 서로 티격태격하면서도 낙천적인 반면, 다른 한쪽은 조용하고 비관적인 분위기에 싸여 있다. 가족의 대화는 상대편 침대를 의식하면서 조심스레 이어진다. 우리에게 낯익은 풍경이지만 영화는 시점을 달리 하여 같은 시간을 두 번 보여준다. 이 반복을 통해 우리는 인간 사이의 배려와 유대, 그리고 진실의 거처를 발견하고 배우게 된다. (김충국) 
?
?[제33회 부산국제단편영화제]","유디타 가물린",2015,"NULL"
"더 코다이 패밀리",1000,"NULL","히지카타 마사토",2016,"NULL"
"매니악 히어로",1000,"NULL","도요시마 케이스케",2016,"NULL"
"종말의 아이",1000,"서핑 보드 강사 포드는 자신이 <대부>의 공동 각본, 감독 프란시스 포드 코폴라의 아들이라는 말을 들으며 자라면서 아버지가 자신을 아들로 인정해주길 기다린다. 하지만 서핑 시즌이 저물고 나면 과거 자신의 행동과 이야기만이 고독함으로 뼛 속 깊이 음습할 뿐이다.
?
?[제20회 부천국제판타스틱영화제]","마리오 코르네조",2015,"NULL"
"시니어",1000,"NULL","위시트 사사나티앙",2015,"NULL"
"올라 볼라",1000,"말레이시아 축구의 황금기였던 1980년대를 배경으로 올림픽 승리를 거머쥐기 위한 다문화 축구팀의 고군분투 이야기를 앵글에 담았다. 말레이시아 최대 흥행작 <여행>을 연출한 치우 컹 관 감독이 그려낸 감동과 승리에 대한 기록.
?
?[제21회 부천국제판타스틱영화제]","치우 컹 관",2016,"NULL"
"비트코인 하이스트",1000,"인터폴에 수배령이 내려진 해커 “고스트”를 잡는 데에 혈안이 되어있는 특별수사관 다다는 범죄자들과 손을 잡는다. 검거를 위해 펼쳐지는 베트남산 액션 드라마는 화려한 비쥬얼과 함께 스턴트 액션의 정수를 보여준다.
?
?[제 20 회 부천국제판타스틱영화제]","함 트란",2016,"12세 관람가"
"오브 더 플래쉬",1000,"NULL","마리로 디아즈-아바야",1983,"NULL"
"블루 크리스마스",1000,"NULL","오카모토 기하치",1978,"NULL"
"후쿠시마: 어 누클리어 스토리",1000,"NULL","마테오 가그리아르디",2015,"NULL"
"엔드 에프터워즈",1000,"NULL","라우 신-얀",2015,"NULL"
"컨디션드",1000,"NULL","찬 캄-헤이",2015,"NULL"
"웨얼스 더 헤드?",1000,"NULL","루이 메이-펑",2015,"NULL"
"토니 에드만",8.07,"“가족이란 누가 안 본다면 내다버리고 싶은 존재이다…
?그 중에서도 나의 아버지는 더 그렇다!”
?농담에 장난은 기본, 때론 분장까지 서슴지 않는 괴짜 아버지가
?인생의 재미를 잃어버린 커리어우먼 딸을 찾아오면서 벌어지는 드라마.","마렌 아데",2016,"청소년 관람불가"
"언노운 걸",7.87,"의사 제니는 한밤 중 누군가 병원 문을 두드리지만 진료가 끝나 문을 열어주지 않는다.
?다음 날 병원 문을 두드렸던 신원미상의 소녀가 변사체로 발견되었다는 소식을 듣게 되고 죄책감에 사로잡힌 제니는 소녀의 행적을 직접 찾아 나서는데...","장 피에르 다르덴",2016,"12세 관람가"
"슬랙 베이: 바닷가 마을의 비밀",5.11,"1910년 여름, 북프랑스 해안가에 위치한 작은 마을 슬랙 베이.
?
?이곳에 휴가를 온 여행자들이 연달아 사라지고
?실종 사건의 조사를 위해 슬랙 베이를 찾은 두 형사는
?마을에 살고 있는 두 가족에게 이상한 점을 느끼기 시작한다.
?
?마을에서 가장 화려한 별장에서 지내는 귀족 집안 사람들.
?그리고 실종된 여행객들을 배로 태워다 준 어부 가족.
?
?사건에 대한 조사가 진행되면서 귀족 집안의 딸과
?어부 가족의 아들이 사랑에 빠지게 되고
?두 형사에게도 불가사의한 일들이 일어나는데...","브루노 뒤몽",2016,"청소년 관람불가"
"스테잉 버티컬",1000,"늑대를 찾아 프랑스 남부를 여행하던 영화제작자 ‘리오’가 우연히 양치기 ‘마리’와 만나 아이를 낳게 되지만, 그녀가 ‘리오’를 떠나버리고, 이후 혼자 아이를 돌보다가 자신가 비슷한 처지의 남자를 만나게 되며 겪게 되는 이야기","알랭 기로디",2016,"청소년 관람불가"
"아쿠아리우스",1000,"노년의 클라라에게 평생을 살아온 오래된 건물 아쿠아리우스는 집 이상의 의미가 있다. 재개발을 앞두고 건설사의 회유와 이웃들의 불만이 쏟아지지만 그녀는 퇴거를 거부하고, 곧 그녀의 일상에는 의문의 위협이 찾아드는데… 집단이기주의에 맞서 싸우는 쏘냐 브래거의 열연이 돋보인다.
?[2016년 제21회 부산국제영화제]","클레버 멘돈사 필로",2016,"NULL"
"나, 다니엘 블레이크",9.31,"평생을 성실하게 목수로 살아가던 다니엘은 지병인 심장병이 악화되어 일을 계속 해나갈 수 없는 상황이 된다. 
?다니엘은 실업급여를 받기 위해 찾아간 관공서에서 복잡하고 관료적인 절차 때문에 번번히 좌절한다. 
?그러던 어느 날 다니엘은 두 아이와 함께 런던에서 이주한 싱글맘 케이티를 만나 도움을 주게되고, 서로를 의지하게 되는데...","켄 로치",2016,"12세 관람가"
"마로사",1000,"마닐라의 빈곤지역, 네 아이가 잘 따르는 어머니 로사는 식료품 가게만으로는 생활이 어려워 부업으로 몰래 마약을 판다. 경찰에 체포된 로사는 부패한 경찰의 요구를 뿌리치고 벗어날 방도를 찾아야 한다.
?[2016년 제21회 부산국제영화제]","브릴란테 멘도자",2016,"NULL"
"엘리자의 내일",8.06,"젊은 시절 루마니아의 개혁을 위해 정부와 싸웠지만 지금은 의사가 된 로메오(애드리언 티티에니)는 자신이 이루지 못한 영국 유학의 꿈을 딸 엘리자(마리아 빅토리아 드래거스)가 대신 이뤄주길 바란다. 로메오의 기대를 저버린 적이 없는 딸 엘리자가 마지막 시험을 앞두고 납치를 당하고 로메오의 삶은 송두리째 흔들리게 되는데…","크리스티안 문주",2016,"15세 관람가"
"시에라네바다",1000,"중년의사 라리는 40일 전에 고인이 된 아버지를 추모하는 가족행사에 참여한다. 추도식을 주도할 사제는 오질 않고 가족들은 그동안 쌓인 서로에 대한 불만을 쏟아낸다. 마치 동유럽의 축소판같은 좁은 아파트를 세밀한 카메라로 해부하는 크리스티 푸유의 시선이 돋보인다.
?[2016년 제21회 부산국제영화제]","크리스티 푸이유",2016,"NULL"
"인버젼",1000,"NULL","베남 베자디",2016,"NULL"
"놀라운 딱정벌레의 색깔",1000,"어마어마한 딱정벌레 색상의 코끼리. 재규어처럼 화려한 다섯 하마. 마멀레이드 같은 캥거루. 여왕의 사진을 찍는 버릇없는 문어들. 불행한 뱀파이어를 가르치는 거미들. 전사 X-ray와 노란색 얼룩말. 거의 불가능한 이야기가 기억하기 쉬운 멜로디와 어우러져 ABC의 세계로 우리를 이끈다.
?
?[제18회 부천국제애니메이션페스티벌]","인드라 스프로지",2016,"NULL"
"언드 윙스",1000,"NULL","리사 라이언",2015,"NULL"
"헤브 유 씬 찰리",1000,"NULL","알렉산더 르 바스",2015,"NULL"
"이사 엔드 더 프로그 프린스",1000,"NULL","잉샹 황",2015,"NULL"
"인디고",1000,"일찍이 부모를 여의고 마음 둘 곳을 잃어버린 타쿠미. 어릴 때부터 함께해온 로봇 친구 도카와 함께 자신이 떠나온 별로 돌아갈 방법을 찾고 있다. ’그날’이 가까워 질수록 짝사랑하는 요시미를 두고 떠나는 안타까움은 커져만 가는데..
?
?[제 20 회 부천국제판타스틱영화제]","조디 윌슨",2015,"NULL"
"알레고리 오브 더 잼 자",1000,"NULL","룻 멜라어츠",2015,"NULL"
"하이 하우 아 유 다니엘 존슨?",1000,"NULL","가브리엘 선데이",2015,"NULL"
"시네스트티샤",1000,"NULL","아이스링 친-이",2015,"NULL"
"더 발라드 오브 더 드래드넛트",1000,"NULL","존 스털링 룻",2015,"NULL"
"더 뉴 올리언즈 사제라크",1000,"NULL","제임스 마틴",2015,"NULL"
"미니멈 웨이지",1000,"NULL","조이 알리",2015,"NULL"
"론리 플라넷",1000,"NULL","알렉스 부루노바",2014,"NULL"
"데슈트",1000,"NULL","말리나 마리아 매키비츠",2015,"NULL"
"스토커 브레이크업",1000,"NULL","토머스 마이클",2016,"NULL"
"테일",1000,"NULL","맷 머서",2015,"NULL"
"더 링 팅",1000,"NULL","프리데리케 젠",2015,"NULL"
"라이트닝 인 더 핸드",1000,"NULL","조이 그로스필드",2014,"NULL"
"블랙 카나리스",1000,"NULL","제스 크레이트저",2015,"NULL"
"눈에는 눈",1000,"프레데릭 바에어는 인디애나 주 교도소에서 사형수로 십 년을 보냈다. 그는 여전히 사형이 집행될 때까지 기다리고 있다.
?
?[제8회 서울국제초단편영화제]","스티브 바체",2016,"NULL"
"인투 더 서프",1000,"NULL","톰 에반스",2015,"NULL"
"우먼 아웃사이드",1000,"NULL","셸리 라우만",2015,"NULL"
"내사랑 한옥마을",1000,"지숨 갤러리는 2년전 전주한옥마을에 터를 잡았다. 한지사진 인화를 내세운 갤러리는 한옥마을의 숨구멍으로 자리 매김하고 전라북도를 대표하는 창조경제 사례로 선정되는 등 순항을 거듭했다. 그러던 어느 날 재계약을 앞두고 건물주로부터 걸려온 전화 한 통, 월세를 300% 올려 달랜다. 얼마 후 건물주로부터 다시 연락이 왔다. 재계약은 원치 않으니 무조건 자리를 비우란다. 그러고 보니 한옥마을 풍경이 많이 달라 보인다.","김정인",2016,"NULL"
"돌고래와 나",1000,"지금껏 잘 알려지지 않은 제주남방 큰 돌고래의 비밀을 찾아 제주도로 이주한 이정준 감독. 남방 큰 돌고래는 오랜 세월 제주 앞바다를 터전으로 살아왔다. 그러나 해중림 파괴와 수온 상승, 해안 개발로 인한 바닷길 변화 등 제주의 급속한 환경 변화는 돌고래의 생태계에 악영향을 미치고 있다. 베일에 싸인 제주 섬 돌고래에 대한 최초 수중 다큐멘터리 영화가 시작된다.
?
?[제13회 서울환경영화제]","이정준",2016,"NULL"
"해파리의 노래",1000,"평범한 가장이며 대학교 수질 연구소에서 일하는 이태호는 대학 동문인 신문기자 강철수의 방문이 반갑지 않다. 둘은 386세대로 대학시절 누구보다 뜨겁게 학생운동을 했던 동지였다. 그러나 다 옛날 이야기다. 철수는 태호의 4대강 관련 논문을 기사화 하길 원하지만 태호는 내부 고발자가 되는 것을 주저한다. 내면의 양심과 현실의 굴레에서 이러지도 저러지도 못하는 태호. 그의 평온했던 삶은 점점 황폐해진다.??[제13회 서울환경영화제]","황철민",2016,"NULL"
"핵마피아",1000,"‘핵마피아’를 만나기 위한 시민탐정들의 용감한 여정이 시작된다. 
?
?[제42회 서울독립영화제]","김환태",2016,"NULL"
"소풍",1000,"노루 가족이 소풍을 떠난다. 숲에서 즐거운 시간을 보내던 중 노루 가족의 딸이 인간의 차에 치인다. 차에서 내린 인간은 죽은 노루 딸을 차갑게 바라보다 그냥 떠나버린다. 남겨진 노루 가족은 사라지는 차와 죽어있는 딸을 멍하니 바라본다.
?
?[제13회 서울환경영화제]","문세은",2016,"NULL"
"플라워 쇼",8.03,"메리(엠마 그린웰)는 자연과 정원에 대한 열정을 가진 젊은 아일랜드 여성이다. 유명 플로리스트이자 가든 디자이너인 샬롯(크리스틴 마자노)의 팀원이 되지만 기회를 얻는 데에 실패한 메리는 식물학자 크리스티 (톰 휴즈)와 함께 에티오피아에서 자연의 새로운 모습을 느끼고 돌아와 첼시 플라워쇼에 도전한다.","비비엔느 드 커시",2015,"12세 관람가"
"땅을 사라",1000,"<땅을 사라>는 ‘공공재로서의 땅’이라는 유토피아적인 아이디어를 촉진하는 사회 운동을 기록한다. ‘테르 데 리앙’ 운동의 멤버들은 인간과 땅의 관계를 변화시키기 위해 꼭 필요한 것들을 시행한다. 이러한 노력을 통해, 영화는 프랑스의 사회구조가 당면한 어려움을 보여준다. 자본주의를 통한 땅의 공영화는 가능할 것인가?
?
?[제13회 서울환경영화제]","루바 빈크",2016,"NULL"
"호수의 딸 ",1000,"페루 골드 러쉬의 정점. 물의 영혼과 소통할 수 있는 안데스 여인이 있다. 그녀는 자신의힘을 이용해, 자신이 엄마라고 믿는 호수를 광업공사들이 파괴하지 못하게 한다.
?
?[제13회 서울환경영화제]","에르네스토 카벨로스",2015,"NULL"
"얼룩진 하늘 - 보이지 않는 위협 ",1000,"<얼룩진 하늘>은 대부분의 사람들이 평범하다고 생각하는 현상을 다루는 혁신적인 다큐멘터리이다. 하늘을 덮고 해를 가리는, 구름으로 퍼지는 비행운. 하지만 어떤 사람들에게 이 흔적들은 인류 역사상 가장 큰 환경 범죄이다.
?
?[제13회 서울환경영화제]","마티아스 한케",2016,"NULL"
"살레로",1000,"세상에서 가장 큰 소금 사막인 볼리비아의 살라르 데 우유니는 상상을 초월하는 풍경을 자랑하는 흰 땅이다. 이 곳에 존재하는 유일한 생명은 하얗게 빛나는 땅 위에서 소금을 채취하는 살레로들 뿐이다. 볼리비아 정부가 이 곳을 현대화하려는 계획을 세우면서 이 고립된 지역은 원치 않는 미래로 떠밀려간다. <살레로>는 마지막 남은 소금 채취업자인 모이시스의 눈을 통해 전통과 발전의 상호작용을 시적으로 관찰한다.
?
?[제13회 서울환경영화제]","마이크 플런켓",2015,"NULL"
"나의 언덕이 푸르러질 때",1000,"2012년, 80명이 살고 있는 프랑스 남부의 작은 마을 캐플롱그에는 로코모치베(Loco-Motives)조합이 만들어진다. 이들의 비전은 최대한 자연과 동물을 존중하는 방식으로 로컬푸드를 생산, 배달하는 것이다. 개인적이고도 시적인 일련의 자화상을 통해 우리는 이자벨, 장-마르크, 빈센트 등의 인물들이 자신의 이상을 추구했던 지난 일 년간의 시간을 따라간다.
?
?[제13회 서울환경영화제]","올리버 디킨슨",2015,"NULL"
"인사이드 퍼",1000,"일군의 환경운동가들이 북유럽 모피 산업의 진상을 알리겠다는 목표 하에 농장에 잠입한다. 수백 개의 모피농장에서 찍은 사진들이 공개되었을 때, 미디어에서는 잔치가 벌어졌고 대중들은 분노한다. 하지만 아무 것도 변한 것은 없다. 프랭크 나르비크는 모피 산업계에 그가 모피 농부가 되겠노라 말한다. 업계에 받아들여진 그는 그들의 영업 비밀을 배우기 시작한다. 아무도 모르게, 그는 몰래 카메라로 자신의 트레이닝을 촬영한다.
?
?[제13회 서울환경영화제]","올라 와근",2014,"NULL"
